# k	Real	Imaginary	Magnitude	Phase
9.900000000000000000e+01 2.555779411415937119e-02 -2.185137342253189174e-01 2.200033019867544681e-01 -1.454363384172068452e+00
1.000000000000000000e+02 -2.918250483806851814e-01 2.115288824872760542e-01 3.604252030431627229e-01 2.514383920502769598e+00
1.010000000000000000e+02 -2.752634707268589720e-01 4.606559229615260487e-02 2.790914135371987959e-01 2.975778299935376126e+00
1.020000000000000000e+02 9.202700904708444041e-02 -3.054680891076709259e-01 3.190293463887673986e-01 -1.278178890545902835e+00
1.030000000000000000e+02 2.037161587607492774e-01 2.371360451456429597e-01 3.126240189869473607e-01 8.610609073164728899e-01
1.040000000000000000e+02 -7.131789110365147066e-02 -2.875909592860456665e-02 7.689816116203930518e-02 -2.758285810435848973e+00
1.050000000000000000e+02 -2.098992213563415921e-01 5.938445945602145448e-01 6.298484624212272731e-01 1.910548589744043291e+00
1.060000000000000000e+02 3.387221961152113714e-01 -7.364103635643465262e-02 3.466348631871316033e-01 -2.140769672533834045e-01
1.070000000000000000e+02 -1.214719651160296732e-01 2.567131665280290020e-01 2.840019157998717736e-01 2.012760024834849837e+00
1.080000000000000000e+02 2.901866836086616219e-01 7.286488073639041385e-02 2.991949234003175584e-01 2.460104618466189275e-01
1.090000000000000000e+02 2.249670400201781995e-01 1.980425524832010731e-01 2.997182371653449029e-01 7.218340825564951713e-01
1.100000000000000000e+02 -1.149396313617906257e-01 -3.307295212107300708e-01 3.501330248032354930e-01 -1.905272247964293397e+00
1.110000000000000000e+02 -7.190818864689811907e-01 2.030843074862220127e-02 7.193686063536970376e-01 3.113357991803618052e+00
1.120000000000000000e+02 -1.381137813773437029e-01 1.049672092621046354e-01 1.734748731852055748e-01 2.491718828992340651e+00
1.130000000000000000e+02 1.652733734469792048e-01 -4.808294092322917823e-02 1.721257016786609806e-01 -2.831148307118249163e-01
1.140000000000000000e+02 -1.851844150699188118e-01 -2.768605750514797625e-01 3.330841419260665570e-01 -2.160324466658231302e+00
1.150000000000000000e+02 -3.365409581483289059e-02 -8.017763617465070713e-02 8.695430701045583910e-02 -1.968206834850635190e+00
1.160000000000000000e+02 -1.441513224371673008e-01 -1.363521591370230046e-01 1.984225669164478567e-01 -2.383991487286573729e+00
1.170000000000000000e+02 -1.538122974916765473e-01 5.084177130766141112e-02 1.619972486475265705e-01 2.822354366347896271e+00
1.180000000000000000e+02 -2.092738990909341068e-01 -1.177393445304892455e-01 2.401210488299426737e-01 -2.629120521397883881e+00
1.190000000000000000e+02 -2.501926528560138863e-01 -8.504416219363426788e-02 2.642515337067072867e-01 -2.813930603961137589e+00
1.200000000000000000e+02 -3.496577166847681939e-01 -2.994709495506410191e-01 4.603730753008565824e-01 -2.433355044552850455e+00
1.210000000000000000e+02 -5.517752485688712794e-01 -3.471417020442154472e-02 5.528661669393608591e-01 -3.078761858281827912e+00
1.220000000000000000e+02 -2.768988096136953958e-01 6.270318819575998459e-02 2.839095640787651087e-01 2.918900389602620216e+00
1.230000000000000000e+02 9.774351574212156168e-02 2.344746950875593594e-01 2.540318434882412602e-01 1.175839051829337345e+00
1.240000000000000000e+02 -3.113916866155968521e-01 -3.584726508452072968e-01 4.748341014473329014e-01 -2.286025553444401837e+00
1.250000000000000000e+02 1.379616827224950104e-01 1.625666288095069523e-01 2.132166379579942261e-01 8.670882702351558891e-01
1.260000000000000000e+02 -1.328293471877062815e-01 -4.365618567818550511e-01 4.563221343208470060e-01 -1.866158954712817675e+00
1.270000000000000000e+02 3.252259172922621899e-01 1.464641235766623306e-01 3.566842255744893664e-01 4.231414505358746525e-01
1.280000000000000000e+02 -3.487046540114936977e-01 -1.307997270844770688e-01 3.724291937196240188e-01 -2.782732777979083583e+00
1.290000000000000000e+02 -1.187367210799228912e-01 -8.225989003789699328e-02 1.444475629488372881e-01 -2.535720447018837920e+00
1.300000000000000000e+02 2.912168728946893381e-01 -9.637998430091890278e-02 3.067513136604422264e-01 -3.196094705876976749e-01
1.310000000000000000e+02 -2.708249505544597646e-01 -7.089378085912656502e-02 2.799501420026920262e-01 -2.885567616212888264e+00
1.320000000000000000e+02 -1.708456627565625996e-01 -6.168399626323267659e-02 1.816401824424640488e-01 -2.795106972771927989e+00
1.330000000000000000e+02 -5.866035650691429904e-02 -2.188788176224796267e-01 2.266031205198484610e-01 -1.832646670463991878e+00
1.340000000000000000e+02 3.981642638788430166e-01 6.028026886234161275e-02 4.027014922300352073e-01 1.502544376233880818e-01
1.350000000000000000e+02 1.849143197909062231e-01 6.281135750038018273e-01 6.547671103283899674e-01 1.284488426490866475e+00
1.360000000000000000e+02 -8.408404421804809015e-02 -5.556562795038157143e-02 1.007852444635765621e-01 -2.557638657086467315e+00
1.370000000000000000e+02 2.000803025508918198e-02 7.388073063802361173e-02 7.654203834688989849e-02 1.306324770221798826e+00
1.380000000000000000e+02 4.256264526324574082e-02 1.799941538859824164e-01 1.849580336317825924e-01 1.338594766567631877e+00
1.390000000000000000e+02 -5.314829754067812440e-02 3.110076272904228611e-01 3.155162210795049438e-01 1.740051995678229213e+00
1.400000000000000000e+02 -1.548061934721853272e-02 6.270348659704802485e-02 6.458619672034929260e-02 1.812842121326882161e+00
1.410000000000000000e+02 -2.978806405441002114e-02 9.616945664663181792e-02 1.006771729431157059e-01 1.871169865588672376e+00
1.420000000000000000e+02 -4.145843974049739228e-02 1.884721001385848971e-01 1.929780680708697294e-01 1.787319190054056817e+00
1.430000000000000000e+02 -3.748529832505742565e-01 -1.503252257983779816e-01 4.038718021392290747e-01 -2.760203409024178267e+00
1.440000000000000000e+02 1.266638971426760907e-01 1.770684096788825435e-01 2.177084393072050983e-01 9.498498990454532498e-01
1.450000000000000000e+02 1.543498816225688519e-03 3.012470478403959095e-01 3.012510020251376597e-01 1.565672673896995715e+00
1.460000000000000000e+02 4.289285239482071299e-02 8.077190559585663288e-02 9.145434664437690486e-02 1.082628681874620913e+00
1.470000000000000000e+02 -2.786544028538634477e-02 -1.962959602141978177e-01 1.982639320671119032e-01 -1.711810404666198604e+00
1.480000000000000000e+02 3.254075262022638193e-01 -1.710663285548003343e-01 3.676326248774663408e-01 -4.839946118166233990e-01
1.490000000000000000e+02 -1.163368648443148662e-01 -2.604159624173686682e-02 1.192159001837507781e-01 -2.921376430891438947e+00
1.500000000000000000e+02 -1.622187201915575583e-01 2.274110461717037956e-01 2.793397520967891845e-01 2.190411519079911162e+00
1.510000000000000000e+02 -4.911067407316696554e-01 1.456765764757491366e-01 5.122572554154584124e-01 2.853231241290415721e+00
1.520000000000000000e+02 1.739799550709153209e-01 -9.655319912550108796e-02 1.989762423704055372e-01 -5.066489341293487492e-01
1.530000000000000000e+02 -1.482268790080387144e-01 -2.220027026776515977e-01 2.669389586715388285e-01 -2.159500497419404752e+00
1.540000000000000000e+02 -2.575760221958978136e-02 1.207762747991073249e-01 1.234923585751446506e-01 1.780915533454514588e+00
1.550000000000000000e+02 2.314500437448626935e-01 -8.038901600300324413e-02 2.450132989113651405e-01 -3.342921883421487994e-01
1.560000000000000000e+02 1.998981386995030418e-01 -2.137364627745247658e-01 2.926474694489797912e-01 -8.188411214303683572e-01
1.570000000000000000e+02 -1.567653534649393332e-01 -2.187943079741891395e-02 1.582848240956990782e-01 -3.002920408098932015e+00
1.580000000000000000e+02 1.845020188691950669e-01 -8.644813076559043630e-02 2.037505197040572757e-01 -4.381712864510314831e-01
1.590000000000000000e+02 -1.250063636430882863e-01 2.654803440282950677e-01 2.934389272346972222e-01 2.010868436171903806e+00
1.600000000000000000e+02 1.950917267786273501e-01 2.163591088874493307e-01 2.913280725505830171e-01 8.370409609177897892e-01
1.610000000000000000e+02 4.126290655911667160e-02 -5.818269283360495009e-02 7.132918899774494392e-02 -9.539254795401536091e-01
1.620000000000000000e+02 7.716730530320631276e-02 5.806118947795591012e-01 5.857174791375685530e-01 1.438663839382579912e+00
1.630000000000000000e+02 4.673046165292750465e-02 -3.510358001772388020e-02 5.844653433999719844e-02 -6.442639774090338500e-01
1.640000000000000000e+02 -1.842641475766613468e-01 -7.326513968935191579e-02 1.982953775957823350e-01 -2.763148917751646838e+00
1.650000000000000000e+02 2.624179400377100735e-01 -2.858256956057083076e-01 3.880199782512779305e-01 -8.280681479450812121e-01
1.660000000000000000e+02 2.288115283072318928e-01 2.029030170751440765e-01 3.058175106570704127e-01 7.254569944016834304e-01
1.670000000000000000e+02 -1.839070057376715472e-01 2.249964761439728622e-01 2.905945647058824077e-01 2.256043716126225895e+00
1.680000000000000000e+02 -7.106365154771338011e-04 -2.793079367849126138e-01 2.793088408112100463e-01 -1.573340597431333476e+00
1.690000000000000000e+02 1.190953691863121944e-01 2.427452039089018909e-02 1.215440632109678482e-01 2.010699729183011708e-01
1.700000000000000000e+02 9.377428726866526842e-02 -1.972088305364447791e-01 2.183688159841014054e-01 -1.126933958984670747e+00
1.710000000000000000e+02 -2.041106181419344301e-02 -1.117821722313420696e-01 1.136303897429743331e-01 -1.751403381141944271e+00
1.720000000000000000e+02 -1.112665331572588318e-01 2.581324271273356397e-01 2.810917845392935654e-01 1.977775462417950214e+00
1.730000000000000000e+02 -8.811036419397214048e-02 -1.341060521785837345e-01 1.604614268580440706e-01 -2.152090732049950716e+00
1.740000000000000000e+02 -1.216372908200269859e-01 1.833995267308708155e-01 2.200704817169790717e-01 2.156420554445146465e+00
1.750000000000000000e+02 -1.119163574124909660e-01 -1.967017889565540467e-01 2.263114332842889043e-01 -2.088083024717516611e+00
1.760000000000000000e+02 3.175198442423246004e-01 -7.806655614217146433e-02 3.269758992274031661e-01 -2.410817607581940136e-01
1.770000000000000000e+02 -6.908258376800131828e-02 1.978160076813344770e-01 2.095318025385280170e-01 1.906781856076490644e+00
1.780000000000000000e+02 2.059948004301103419e-01 -3.243928963361745327e-02 2.085333673927861065e-01 -1.561935477112630366e-01
1.790000000000000000e+02 -6.162357801998451928e-02 -1.473257250104205718e-01 1.596945040313886011e-01 -1.966962337068134614e+00
1.800000000000000000e+02 8.975627560951880690e-02 -4.126954530715849501e-01 4.223431377414018084e-01 -1.356643389509160080e+00
1.810000000000000000e+02 2.639167555397534115e-01 7.846842812032386871e-02 2.753349742882374440e-01 2.889987001527365429e-01
1.820000000000000000e+02 8.064056585521220399e-02 -1.403738379460559571e-01 1.618879712676466742e-01 -1.049360408863604599e+00
1.830000000000000000e+02 1.250953748270703103e-01 -3.717346384940842241e-02 1.305017977565385567e-01 -2.888501556876487686e-01
1.840000000000000000e+02 4.379182357377405799e-01 -4.257091690057404065e-01 6.107378142601073145e-01 -7.712621442991195453e-01
1.850000000000000000e+02 -1.256732265676570037e-01 3.908050341793429805e-01 4.105147191220347991e-01 1.881927545071999441e+00
1.860000000000000000e+02 -1.341068696097094948e-01 -1.620522775344072561e-02 1.350824262554404520e-01 -3.021337545006551828e+00
1.870000000000000000e+02 -2.975517855994503358e-01 -7.005883824024716766e-02 3.056882495762543450e-01 -2.910353425844884434e+00
1.880000000000000000e+02 1.699668666353667534e-01 -7.472095887047430773e-02 1.856662528527132650e-01 -4.141890815084311450e-01
1.890000000000000000e+02 -9.394387460985503813e-03 -5.622638032265546426e-02 5.700579233687590175e-02 -1.736348589958128796e+00
1.900000000000000000e+02 7.717808721961530449e-02 3.401176688705127849e-02 8.434012943823161745e-02 4.150864992013255650e-01
1.910000000000000000e+02 -4.640446512257414419e-02 -1.586682747058206777e-01 1.653148383583094017e-01 -1.855323398706960614e+00
1.920000000000000000e+02 -2.506578262631022902e-01 1.201272917261806128e-01 2.779566730345045533e-01 2.694683944367226136e+00
1.930000000000000000e+02 -2.927418492187497945e-01 3.711646325048048589e-01 4.727165902593646885e-01 2.238616093269950369e+00
1.940000000000000000e+02 -1.477318423531293057e-02 -2.235013665962237439e-01 2.239890797401295208e-01 -1.636799169264399723e+00
1.950000000000000000e+02 -2.539256913186915265e-01 2.490261844511173703e-02 2.551438753274282156e-01 3.043834763999459625e+00
1.960000000000000000e+02 6.268136318498912507e-02 -6.181103158012421495e-02 8.803156772276421460e-02 -7.784072349325796836e-01
1.970000000000000000e+02 2.576601213118077105e-01 8.953517211753733718e-02 2.727733219369747886e-01 3.344399577727847905e-01
1.980000000000000000e+02 2.799825245556165215e-02 -3.623463328579817344e-01 3.634264259464254909e-01 -1.493680244578528216e+00
1.990000000000000000e+02 -1.234213906109304787e-01 -3.472533556108359232e-02 1.282134493341698378e-01 -2.867327074542767917e+00
2.000000000000000000e+02 2.619085813114019889e-01 -1.744685602331023655e-01 3.146988774596486405e-01 -5.876399567047311256e-01
2.010000000000000000e+02 5.305138261664058552e-01 -5.405855464035626279e-02 5.332609558963827823e-01 -1.015479841755513868e-01
2.020000000000000000e+02 -1.518369466869310958e-01 -6.019961238493834466e-02 1.633353963796787545e-01 -2.764128422903103566e+00
2.030000000000000000e+02 4.053786361627028656e-01 1.931358608085756712e-01 4.490359666968811725e-01 4.446170894481935587e-01
2.040000000000000000e+02 -5.951709379388681054e-02 -1.466595242352252138e-01 1.582760263039634518e-01 -1.956308248488205725e+00
2.050000000000000000e+02 1.506800183568432830e-02 -1.523810717923618219e-01 1.531242492876589145e-01 -1.472233058841744047e+00
2.060000000000000000e+02 -3.516589583644142425e-01 -4.555354674864364184e-01 5.754794393686285536e-01 -2.228209565041996409e+00
2.070000000000000000e+02 -2.251197736698534735e-01 1.754120622743358116e-01 2.853914926701591748e-01 2.479667438887363851e+00
2.080000000000000000e+02 6.173633407590362054e-02 -7.972166759530846525e-02 1.008311421600907726e-01 -9.118622035375945067e-01
2.090000000000000000e+02 -3.140201037536650697e-01 -2.450979146838333789e-01 3.983486078095745397e-01 -2.478845229745413992e+00
2.100000000000000000e+02 1.406990177494545913e-01 2.579995062673829942e-01 2.938706498272237178e-01 1.071533208207034349e+00
2.110000000000000000e+02 -5.376344775773270190e-02 2.894629734037897362e-01 2.944135208963092887e-01 1.754438818131763611e+00
2.120000000000000000e+02 -1.854814315837278460e-01 -3.417507713782270695e-01 3.888405215508825008e-01 -2.068047695902289984e+00
2.130000000000000000e+02 2.345120646699854761e-01 1.499494217443790023e-01 2.783536196230490534e-01 5.688947096066280240e-01
2.140000000000000000e+02 2.314867141830944663e-01 3.889180757020683776e-01 4.525962532446390907e-01 1.033908633650430398e+00
2.150000000000000000e+02 2.047572000809522730e-01 -2.889499300645163166e-02 2.067859560169258704e-01 -1.401925993492249556e-01
2.160000000000000000e+02 3.010154358464268709e-01 2.560178727590537995e-01 3.951650842241573591e-01 7.047924505633013093e-01
2.170000000000000000e+02 5.610516074656779484e-02 -4.005967392261841065e-01 4.045065346085889302e-01 -1.431647460407647454e+00
2.180000000000000000e+02 -1.064836031704021746e-01 1.492074178805364026e-01 1.833074229122451382e-01 2.190632419665339281e+00
2.190000000000000000e+02 1.229502717463241274e-01 -2.115845625502809912e-01 2.447137029920652129e-01 -1.044395181126624328e+00
2.200000000000000000e+02 -3.706855682995743306e-01 -2.768590837191822057e-02 3.717180383946367961e-01 -3.067042679855750631e+00
2.210000000000000000e+02 -2.327771708396793593e-01 3.363652584386387367e-01 4.090559843696428555e-01 2.176157911845648218e+00
2.220000000000000000e+02 2.763171232286658618e-01 2.572143666687426444e-03 2.763290945818188682e-01 9.308396625365856353e-03
2.230000000000000000e+02 8.425408951742582864e-02 7.298752859560547757e-02 1.114716597656316005e-01 7.138691385107110987e-01
2.240000000000000000e+02 -1.540816507764127541e-01 1.187334234126819626e-01 1.945219292040864800e-01 2.485045096677681808e+00
2.250000000000000000e+02 3.473771316205978010e-01 5.648018716928157601e-02 3.519387490965313336e-01 1.611799786540059898e-01
