400,2378.98,1614.04
500,2326.49,1320.36
600,2258.75,996.7
700,2169.66,709.39
800,2041.93,455.27
900,1915.64,323.17
1000,1832.82,275.38
1100,1711.74,234.64
1200,1564.84,202.37
1300,1421.91,176.96
1400,1286.37,157.07
1500,1171,140.93
1600,1068.48,127.17
1700,972.73,115.92
1800,889.94,104.77
1900,814.44,94.7
2000,742.62,85.95
2100,683.45,78.25
2200,629.44,70.95
2300,579.88,64.17
2400,538.57,58.08
2500,504.45,53.7
2600,474.67,50.28
